OTU_ID	rel_enrich	threemod	en0.1	en0.2	en0.3	en0.4	en0.5	en0.6	en0.7	en0.8	en0.9	en1	Phylum	Family	Genus	Species
OTU_54	609.3303857	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	Proteobacteria	Sphingomonadaceae	Sphingobium	Unassigned
OTU_31911	0.680176861	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_17023	1.708425448	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	Firmicutes	Clostridiaceae	Proteiniclasticum	Unassigned
OTU_4961	-9.822156718	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Bacteroidaceae	Bacteroides	Unassigned
OTU_264	-35.59715058	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Alcaligenaceae	Achromobacter	Unassigned
OTU_184	-41.58241218	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	Actinobacteria	Brevibacteriaceae	Brevibacterium	Unassigned
OTU_51088	-1.754605748	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Cyanobacteria	Unassigned	Unassigned	Unassigned
OTU_39508	-1.560058954	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	Cyanobacteria	Unassigned	Unassigned	Unassigned
OTU_9043	-0.675509703	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Thermi	Deinococcaceae	Deinococcus	Unassigned
OTU_4463	-0.671825104	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Proteobacteria	Acetobacteraceae	Unassigned	Unassigned
OTU_50376	-4.760992385	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	mitochondria	Unassigned	Unassigned
OTU_1202	-4.021370671	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Erysipelotrichaceae	Bulleidia	Unassigned
OTU_50596	-1.237533775	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Firmicutes	Bacillaceae	Unassigned	Unassigned
OTU_1625	-1.989683125	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	Proteobacteria	Acetobacteraceae	Unassigned	Unassigned
OTU_50365	-5.732252518	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	Proteobacteria	Caulobacteraceae	Unassigned	Unassigned
OTU_1074	-4.870793417	Non-Asthmatic	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Moraxellaceae	Acinetobacter	Unassigned
OTU_18620	-3.461557357	Non-Asthmatic	Non-Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Alcaligenaceae	Unassigned	Unassigned
